year,pct,crimsusp,datestop,timestop,recstat,inout,trhsloc,perobs,ser_num,perstop,typeofid,explnstp,arstmade,othpers,arstoffn,frisked,sumoffen,compyear,comppct,offunif,officrid,sumissue,searched,contrabn,adtlrept,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other,radio,ac_rept,ac_inves,rf_vcrim,rf_othsw,ac_proxm,rf_attir,cs_objcs,cs_descr,cs_casng,cs_lkout,sex,cs_cloth,cs_drgtr,ac_evasv,ac_assoc,cs_furtv,rf_rfcmp,ac_cgdir,rf_verbl,cs_vcrim,cs_bulge,cs_other,ac_incid,ac_time,race,ac_stsnd,ac_other,sb_hdobj,sb_outln,city,sb_other,repcmd,revcmd,rf_furt,rf_bulg,offverb,offshld,forceuse,rf_vcact,rf_knowl,dob,age,ht_feet,ht_inch,weight,haircolr,eyecolor,build,othfeatr,addrtyp,rescode,premtype,premname,addrnum,stname,stinter,crossst,aptnum,sb_admis,state,zip,addrpct,sector,beat,post,xcoord,ycoord,dettypCM,lineCM,detailCM
2014,70,FELONY/BURG,2062014,2000,1,O,P,0,98,15,P,Y,N,N, ,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,M,N,N,N,N,N,N,N,N,N,N,N,N,N,B,N,N,N,N,BROOKLYN,N,70,70,N,Y, , , ,N,N,12311900,39,5,11,190,BK,BR,H, ,L, , ,SIDEWALK, , ,ARGYLE ROAD,ALBEMARLE ROAD, ,N, , ,70,I,19, ,993319,174812,CM,1,14
2014,70,MIS/CPW,2192014,1530,1,O,P,2,99,4,R,Y,N,Y, ,Y, ,0,0,N, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,M,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,B,N,N,N,N,BROOKLYN,N,70,318,Y,Y,V,S, ,N,N,12311900,30,5,9,160,BK,BR,T, ,L, , ,STREET,2124,DORCHESTER ROAD,EAST 22 STREET,EAST 21 STREET, ,N, , ,70,H,18, ,995980,173264,CM,1,20
2014,106,MISD,2202014,2150,1,I,P,1,331,10,P,Y,N,Y, ,Y, ,0,0,Y, ,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,M,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,Q,N,N,Y,N,QUEENS,Y,106,106,N,N, , ,DS,N,N,12311900,20,5,6,150,BK,BR,T, ,L, , ,VEHICLE, , ,135 STREET,111 AVENUE, ,N, , ,106,G, , ,1037497,188639,CM,1,27
2014,67,MISD,3012014,2345,1,O,P,1,450,5,P,Y,N,Y, ,N, ,0,0,N, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,N,N,N,N,N,N,N,N,N,N,Y,Y,N,B,N,N,N,N,BROOKLYN,N,186,76,N,N,V,S, ,N,N,12311900,22,5,7,190,BK,BR,M, ,L, , ,STREET, , ,NOSTRAND AVENUE,MARTENSE STREET, ,N, , ,67,A, , ,998216,176711,CM,1,27
2014,67,MISD,3012014,2345,1,O,P,1,451,5,R,Y,N,N, ,Y, ,0,0,N, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,B,N,N,N,N,BROOKLYN,N,186,76,N,N,V,S, ,N,N,12311900,1,5,8,160,BK,BR,M, ,L, , ,STREET, , ,NOSTRAND AVENUE,MARTENSE STREET, ,N, , ,67,A, , ,998216,176711,CM,1,27
2014,110,CRIMINAL MISCHIEF,3062014,2215,A,I,P,1,54,4,P,Y,Y,N,ROBBERY/CRIMINAL,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,N,N,M,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,Q,N,N,N,N,QUEENS,N,110,110,Y,N, , ,DS,N,N,12311900,48,5,9,200,BK,BR,M, ,L, , ,7 TRAIN PLATFORM, , ,ROOSEVELT AVENUE,82 STREET, ,N, , ,110,A, , ,1016409,211680,CM,1,23
2014,5,MISD,3072014,1530,1,I,H,10,46,10,P,Y,N,N, ,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,M,N,N,N,N,N,N,N,N,N,N,Y,N,N,B,N,N,N,N,MANHATTAN,N,804,804,Y,N, , ,DS,N,N,12311900,17,5,9,150,BR,BR,M, ,L, , ,10 FLOOR,20,CATHERINE SLIP,SOUTH STREET,CATHERINE STREET, ,N, , ,5,A, , ,985307,197777,CM,1,31
2014,103,GLA,3122014,1835,1,O,P,1,81,3,P,Y,N,N, ,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,M,N,N,N,N,N,N,N,N,N,N,Y,N,N,A,N,N,N,N,QUEENS,N,171,171,N,N, , , ,N,N,12311900,23,5,10,200,BK,BR,M, ,L, , , , , ,184 PLACE,JAMAICA AVENUE, ,N, , ,103,C,6, ,1046659,197817,CM,1,46
2014,42,MISD,3142014,30,1,I,H,1,168,7,P,Y,Y,Y,CT,N, ,0,0,Y, ,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,M,N,Y,N,N,Y,N,N,N,N,N,Y,Y,Y,Q,N,Y,N,N,BRONX,N,826,826,N,N, , ,OT,N,N,12311900,34,5,10,180,BK,BR,M, ,L, , ,ROOF,730,EAST 163 STREET,FOREST AVENUE,JACKSON AVENUE, ,N, , ,42,H, , ,1010687,239143,CM,1,31
2014,90,FEL,3162014,15,1,O,P,2,174,4,V,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,Y,M,N,N,N,N,N,N,N,N,N,N,N,N,N,Q,N,N,N,N,BROOKLYN,N,90,90,N,N, , , ,N,N,12311900,20,5,8,170,BK,BR,M, ,L, , ,STREET, , ,KEAP STREET,SOUTH 4 STREET, ,N, , ,90,E, , ,996804,197551,CM,1,85
2014,69,MISD,3182014,1628,1,O,P,1,129,3,P,Y,N,N, ,N, ,0,0,N, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,N,N,N,N,N,N,N,N,N,N,Y,N,N,B,N,N,N,N,BROOKLYN,N,186,186,N,N, ,S, ,N,N,12311900,22,6,0,190,BK,BR,T, ,L, , , ,853,EAST 94 STREET,FOSTER AVENUE,AVENUE D, ,N, , ,69,B, , ,1009316,175398,CM,1,27
2014,61,MIS,3192014,200,1,O,P,5,89,10,P,Y,N,Y, ,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,M,N,N,N,N,N,N,N,Y,N,N,N,N,N,W,N,N,N,N,BROOKLYN,N,186,186,N,N, , , ,N,N,12311900,17,5,8,150,BK,BR,T, ,L, , , ,2362,EAST 13 STREET,AVENUE X,GRAVESEND NECK ROAD, ,N, , ,61,F,8, ,996140,155295,CM,1,68
2014,108,FELONY,3272014,115,1,O,P,1,35,5,V,Y,N,N, ,N, ,0,0,N, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,M,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,Q,N,N,N,N,QUEENS,N,184,184,N,N,V,S, ,N,N,12311900,30,5,8,180,BK,BR,M, ,L, , ,STREET, , ,47 AVENUE,69 STREET, ,N, , ,108,M, , ,1013106,208556,CM,1,45
2014,61,MISD,1012014,10,1,I,T,2,1,5,P,Y,N,N, ,Y, ,0,0,Y, ,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,N,N,M,N,N,N,N,N,N,N,N,N,N,N,N,N,B,N,N,N,N,BROOKLYN,Y,871,871,N,N, , , ,N,N,12311900,50,5,9,230,BK,BR,M, ,L, , ,PLATFORM, , ,MC DONALD AVENUE,AVENUE P, ,N, , ,61,M,3, ,991748,161085,CM,1,20
2014,101,FEL,1012014,20,1,O,P,6,1,10,P,Y,Y,N,RESISTING,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,M,N,N,N,N,Y,Y,Y,N,N,N,N,Y,Y,P,N,N,N,N,QUEENS,N,101,101,Y,N, , ,SW,N,N,12311900,31,6,0,215,BA,BR,M, ,L, , ,SIDEWALK, , ,MOTT AVENUE,BEACH 22 STREET, ,N, , ,101,D, , ,1052559,159711,CM,1,20
2014,79,CPW,1012014,30,A,O,P,1,42,5,V,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,M,Y,N,N,N,N,N,N,N,N,N,N,N,Y,B,N,N,N,N,BROOKLYN,N,79,79,N,N, , , ,N,N,12311900,20,5,5,160,BK,BK,T, ,L, , ,STREET, , ,KOSCIUSZKO STREET,TOMPKINS AVENUE, ,N, , ,79,D,11, ,999365,191140,CM,1,20
2014,79,FELONY,1012014,30,A,O,P,1,9,3,V,Y,N,N, ,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,M,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,Y,B,N,N,N,N,BROOKLYN,N,79,79,Y,Y, , , ,Y,N,12311900,26,5,9,150,BK,BR,M, ,L, , ,STREET,176,KOSCIUSZKO STREET,TOMPKINS AVENUE,MARCY AVENUE, ,N, , ,79,D,11, ,998797,191051,CM,1,20
2014,79,MISD,1012014,30,A,O,P,1,3,5,V,Y,N,N, ,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,M,N,N,N,N,Y,N,N,N,Y,N,N,N,N,B,N,N,N,N,BROOKLYN,N,79,79,N,N, , , ,N,N,12311900,27,5,11,160,BR,BR,M, ,L, , , , , ,KOSCIUSZKO STREET,TOMPKINS AVENUE, ,N, , ,79,D,11, ,999365,191140,CM,1,9
2014,79,MISD,1012014,30,A,O,P,1,4,5,V,Y,N,N, ,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,M,N,N,N,N,Y,N,N,N,Y,N,N,N,N,B,N,N,N,N,BROOKLYN,N,79,79,N,N, , , ,N,N,12311900,27,5,11,170,BR,BR,M, ,L, , ,STREET, , ,KOSCIUSZKO STREET,TOMPKINS AVENUE, ,N, , ,79,D,11, ,999365,191140,CM,1,9
2014,41,CPW,1012014,43,A,I,P,1,5,5,V,Y,N,N, ,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,M,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Q,N,N,N,N,BRONX,N,163,163,N,N, , , ,N,N,12311900,17,5,8,165,BK,BR,T, ,L, , ,RESIDENTIAL,894,ROGERS PLACE,EAST 163 STREET,DAWSON STREET, ,N, , ,41,F,62,,1012520,238247,CM,1,20
2014,46,CPW,1012014,45,A,O,P,1,2,3,P,Y,N,Y, ,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,Y,N,N,M,N,N,N,N,N,N,N,N,N,N,N,Y,N,B,N,N,N,N,BRONX,N,46,46,N,N, , , ,N,N,12311900,35,6,1,190,BK,BR,M, ,L, , ,SIDEWALK, , ,MORRIS AVENUE,EAST 184 STREET, ,N, , ,46,H,4, ,1011694,252606,CM,1,20
2014,120,CPW,1012014,50,A,O,P,1,10,5,P,Y,N,N, ,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,N,N,N,N,Y,N,Y,N,N,N,N,Y,Y,B,N,N,N,N,STATEN ISLAND,N,120,120,Y,N, , , ,N,Y,12311900,17,5,7,160,BK,BR,T, ,L, , ,STREET, , ,BOWEN STREET,SOBEL COURT, ,N, , ,120,B, , ,961045,162903,CM,1,20
2014,88,CPW,1012014,55,1,O,H,3,1,5,V,Y,N,N, ,Y, ,0,0,N, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,M,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,B,N,N,N,N,BROOKLYN,N,88,88,N,N,V,S, ,N,N,12311900,51,5,9,180,BK,BR,M, ,L, , ,SIDEWALK,135,WASHINGTON WALK,MYRTLE AVENUE,PARK AVENUE, ,N, , ,88,J, , ,991364,192001,CM,1,20
2014,76,FEL,1012014,100,1,O,P,10,1,5,V,Y,N,N, ,Y, ,0,0,N, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,Y,Y,M,N,N,Y,N,Y,N,Y,N,Y,N,N,N,N,B,Y,N,N,N,BROOKLYN,N,76,76,Y,N,V,S, ,Y,N,12311900,24,5,8,170,BK,BK,M, ,L, , ,SIDEWALK, , ,WARREN STREET,HOYT STREET, ,N, , ,76,G,2, ,987265,188691,CM,1,85
2014,81,ASSAULT,1012014,115,1,O,P,3,2,5,P,Y,N,N, ,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,M,N,N,N,N,N,Y,N,N,N,N,N,N,N,B,N,N,N,N,BROOKLYN,N,81,81,N,N, , , ,N,N,12311900,31,5,9,250,BK,BR,M, ,L, , ,STREET, , ,BROADWAY,KOSCIUSZKO STREET, ,N, , ,81,B,2, ,1004038,191851,CM,1,9
2014,79,FELONY,1012014,120,A,O,P,1,12,2,P,Y,N,Y, ,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,N,N,N,N,Y,N,N,N,N,N,N,N,Y,B,N,N,N,N,BROOKLYN,N,79,79,Y,N, , , ,N,N,12311900,28,5,4,150,BK,BR,M, ,L, , ,STREET, , ,GATES AVENUE,MARCUS GARVEY BOULEVARD, ,N, , ,79,C,8, ,1001181,189778,CM,1,20
2014,79,FELONY,1012014,120,A,O,P,1,11,2,P,Y,N,Y, ,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,N,N,N,N,Y,N,N,N,N,N,N,N,Y,B,N,N,N,N,BROOKLYN,N,79,79,Y,N, , , ,N,N,12311900,31,5,10,170,BK,BR,M, ,L, , ,STREET, , ,GATES AVENUE,MARCUS GARVEY BOULEVARD, ,N, , ,79,C,8, ,1001181,189778,CM,1,20
2014,79,FELONY,1012014,125,A,O,P,1,10,5,P,Y,N,N, ,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,F,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,B,N,N,N,N,BROOKLYN,N,79,79,Y,N, , , ,N,N,12311900,23,5,7,160,BR,BR,M, ,L, , ,STREET, , ,GATES AVENUE,MARCUS GARVEY BOULEVARD, ,N, , ,79,C,8, ,1001181,189778,CM,1,20
2014,106,FELONY,1012014,125,A,O,P,2,1,1,V,Y,N,N, ,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,M,N,N,N,N,Y,N,N,N,Y,N,N,N,N,A,N,N,N,N,QUEENS,N,106,106,Y,N, , , ,Y,N,12311900,21,5,8,120,BR,BR,T, ,L, , ,STREET, , ,128 STREET,LIBERTY AVENUE, ,N, , ,106,G, , ,1034983,190348,CM,1,20
2014,79,FELONY,1012014,130,A,I,P,2,18,2,V,Y,N,N, ,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,M,N,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,B,N,N,N,N,BROOKLYN,N,79,79,Y,N, , , ,N,N,12311900,17,5,10,190,BR,BR,T, ,L, , ,HALLWAY,415,LAFAYETTE AVENUE,FRANKLIN AVENUE,CLASSON AVENUE, ,N, , ,79,P,9, ,995704,190315,CM,1,20
2014,44,CPW,1012014,130,A,O,P,1,3,5,P,Y,N,N, ,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,M,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,P,N,N,N,N,BRONX,N,44,44,Y,Y, , , ,N,N,12311900,19,5,10,175,BK,BR,M, ,L, , ,STREET,1400,MORRIS AVENUE,EAST 171 STREET,EAST 170 STREET, ,N, , ,44,R, ,46,1008799,244608,CM,1,20
2014,44,CPW,1012014,130,A,O,P,1,1,5,V,Y,N,N, ,Y, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,M,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,Q,N,N,N,N,BRONX,N,44,44,Y,N, , , ,N,N,12311900,18,5,11,140,BK,BR,M, ,L, , ,STREET,1400,MORRIS AVENUE,EAST 171 STREET,EAST 170 STREET, ,N, , ,44,R, ,46,1008799,244608,CM,1,20
2014,120,CPW,1012014,145,A,O,P,1,8,5,V,Y,N,N, ,Y, ,0,0,N, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,N,N,N,N,N,N,N,N,N,N,Y,Y,N,B,N,N,N,N,STATEN ISLAND,N,120,120,N,N,V,S, ,N,Y,12311900,27,5,10,190,BK,BR,M, ,L, , ,SIDEWALK,514,TARGEE STREET,CLIFFSIDE AVENUE,VANDERBILT AVENUE, ,N, , ,120,B, ,2,960727,163210,CM,1,20
2014,120,BURGLARY,1012014,145,A,O,P,1,93,5,V,Y,N,N, ,Y, ,0,0,N, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,M,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,Q,N,N,N,N,STATEN ISLAND,N,120,120,N,N,V,S, ,N,N,12311900,13,5,10,145,BR,BR,T, ,L, , ,STREET, , ,CASTLETON AVENUE,NORTH BURGHER AVENUE, ,N, , ,120,J, , ,952460,170558,CM,1,14
2014,42,CPM (MISD),1012014,154,1,I,H,1,1,1,P,Y,Y,N,CPM,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,M,N,N,N,N,N,N,N,N,N,N,Y,N,N,B,N,Y,N,N,BRONX,N,826,826,N,N, , , ,N,N,12311900,30,6,5,220,BK,BR,T, ,L, , ,LOBBY,1458,WEBSTER AVENUE,EAST 171 STREET,EAST 170 STREET, ,N, , ,42,B, , ,1010098,244419,CM,1,29
2014,41,ASSAULT,1012014,155,A,O,P,1,14,5,P,Y,N,N, ,Y, ,0,0,Y, ,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,Y,N,M,N,N,N,N,Y,N,N,N,Y,N,Y,Y,Y,B,N,N,Y,N,BRONX,N,41,41,Y,N, , , ,Y,N,12311900,34,5,10,190,BK,BR,M, ,L, , ,STREET, , ,DAWSON STREET,ROGERS PLACE, ,N, , ,41,F,62, ,1012513,237861,CM,1,9
